kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
nw,4049,4041,4040,4047,4036,3975,3962,3992,4064,3977,4049.000000,4041.000000,4040.000000,4047.000000,4036.000000,3975.000000,3962.000000,3992.000000,4064.000000,3977.000000
hotspot,2425,2364,2406,2419,2368,2377,2386,2311,2298,2367,1212.500000,1182.000000,1203.000000,1209.500000,1184.000000,1188.500000,1193.000000,1155.500000,1149.000000,1183.500000
hotspot3D,10969,10979,10826,10888,10962,10879,10934,10885,10936,10960,3656.333333,3659.666667,3608.666667,3629.333333,3654.000000,3626.333333,3644.666667,3628.333333,3645.333333,3653.333333
pathfinder,834,805,847,817,816,817,841,801,837,844,417.000000,402.500000,423.500000,408.500000,408.000000,408.500000,420.500000,400.500000,418.500000,422.000000
