kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
nw,4036,3971,4064,3996,4015,4057,4021,4048,4049,4058,4036.000000,3971.000000,4064.000000,3996.000000,4015.000000,4057.000000,4021.000000,4048.000000,4049.000000,4058.000000
hotspot,2410,2427,2341,2441,2427,2361,2321,2420,2360,2407,1205.000000,1213.500000,1170.500000,1220.500000,1213.500000,1180.500000,1160.500000,1210.000000,1180.000000,1203.500000
hotspot3D,10939,11002,10984,10928,10948,10932,10966,10844,10985,10940,3646.333333,3667.333333,3661.333333,3642.666667,3649.333333,3644.000000,3655.333333,3614.666667,3661.666667,3646.666667
pathfinder,903,834,839,839,835,804,817,848,803,765,451.500000,417.000000,419.500000,419.500000,417.500000,402.000000,408.500000,424.000000,401.500000,382.500000
