kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
nw,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
hotspot,3033,3004,2945,3040,2980,3011,3001,3024,3007,3029,1516.500000,1502.000000,1472.500000,1520.000000,1490.000000,1505.500000,1500.500000,1512.000000,1503.500000,1514.500000
hotspot3D,12396,12116,12370,12018,12958,12106,12626,12414,12776,13195,4132.000000,4038.666667,4123.333333,4006.000000,4319.333333,4035.333333,4208.666667,4138.000000,4258.666667,4398.333333
pathfinder,795,753,812,776,765,792,815,805,798,767,397.500000,376.500000,406.000000,388.000000,382.500000,396.000000,407.500000,402.500000,399.000000,383.500000
