kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
nw,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
hotspot,2904,2923,2951,3013,3024,3024,3003,2954,2999,3023,1452.000000,1461.500000,1475.500000,1506.500000,1512.000000,1512.000000,1501.500000,1477.000000,1499.500000,1511.500000
hotspot3D,12133,12723,13173,12518,13131,12514,13206,12806,12212,12616,4044.333333,4241.000000,4391.000000,4172.666667,4377.000000,4171.333333,4402.000000,4268.666667,4070.666667,4205.333333
pathfinder,803,812,753,776,800,772,828,811,809,779,401.500000,406.000000,376.500000,388.000000,400.000000,386.000000,414.000000,405.500000,404.500000,389.500000
