kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
fft,335,337,362,360,361,335,369,365,361,370,335.000000,337.000000,362.000000,360.000000,361.000000,335.000000,369.000000,365.000000,361.000000,370.000000
gemm,283,293,284,278,288,262,304,284,279,304,283.000000,293.000000,284.000000,278.000000,288.000000,262.000000,304.000000,284.000000,279.000000,304.000000
md,,,,,,,,,,,,,,,,,,,,
md5hash,,,,,,43272,43271,43256,43275,43257,,,,,,43272.000000,43271.000000,43256.000000,43275.000000,43257.000000
reduction,,,,,,,,,,,,,,,,,,,,
