kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
hybridsort1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
hybridsort2,23116,23213,23019,23074,23105,23168,23077,23059,23090,23262,23116.000000,23213.000000,23019.000000,23074.000000,23105.000000,23168.000000,23077.000000,23059.000000,23090.000000,23262.000000
hybridsort3,9577,9188,9882,9866,10184,9646,9220,10300,9417,10638,9577.000000,9188.000000,9882.000000,9866.000000,10184.000000,9646.000000,9220.000000,10300.000000,9417.000000,10638.000000
hotspot3D,278748,284318,279103,282561,277398,282175,280761,280203,285629,278494,92916.000000,94772.666667,93034.333333,94187.000000,92466.000000,94058.333333,93587.000000,93401.000000,95209.666667,92831.333333
cfd,463,440,475,438,441,439,438,444,440,465,463.000000,440.000000,475.000000,438.000000,441.000000,439.000000,438.000000,444.000000,440.000000,465.000000
