kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
ndrsd2,122253,123052,125673,123439,127788,124833,124036,122204,123700,122861,122253.000000,123052.000000,125673.000000,123439.000000,127788.000000,124833.000000,124036.000000,122204.000000,123700.000000,122861.000000
ndrsd3,,,,980,1018,1018,992,1004,1025,1020,,,,980.000000,1018.000000,1018.000000,992.000000,1004.000000,1025.000000,1020.000000
ndrsd4,,,112869,108185,126678,103419,95849,95849,118924,134548,,,112869.000000,108185.000000,126678.000000,103419.000000,95849.000000,95849.000000,118924.000000,134548.000000
ndrsdfull,,,20223,20867,19998,19993,20173,20173,19996,20050,,,20223.000000,20867.000000,19998.000000,19993.000000,20173.000000,20173.000000,19996.000000,20050.000000
