kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
nw2,,,,,,,,,,,,,,,,,,,,
pathfinder,,,,,,,,,,,,,,,,,,,,
srad,93338,103288,112804,127656,114809,111003,128789,110687,91169,107067,9333.800000,10328.800000,11280.400000,12765.600000,11480.900000,11100.300000,12878.900000,11068.700000,9116.900000,10706.700000
backprop1,,,,,,,,,,,,,,,,,,,,
backprop2,9774,16118,9901,10026,9981,9643,9987,10041,10047,9924,9774.000000,16118.000000,9901.000000,10026.000000,9981.000000,9643.000000,9987.000000,10041.000000,10047.000000,9924.000000
