kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
lud1,,,,,,,,,,,,,,,,,,,,
lud2,,,,,,,,,,,,,,,,,,,,
lud3,,,,,,,,,,,,,,,,,,,,
leukocyte1,9763247,9807842,9691780,9807834,9928373,9757507,9610119,9669106,,9733108,9763247.000000,9807842.000000,9691780.000000,9807834.000000,9928373.000000,9757507.000000,9610119.000000,9669106.000000,,9733108.000000
leukocyte2,6908222,6980766,6810620,6979925,6922577,6740285,6754358,6974268,6881302,6976277,6908222.000000,6980766.000000,6810620.000000,6979925.000000,6922577.000000,6740285.000000,6754358.000000,6974268.000000,6881302.000000,6976277.000000
