kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
spmv,4839,4888,4894,4858,4849,4860,4903,4908,4915,4877,4839.000000,4888.000000,4894.000000,4858.000000,4849.000000,4860.000000,4903.000000,4908.000000,4915.000000,4877.000000
stencil2d,,,,,,,,,,,,,,,,,,,,
scan,,,,,,,,,,,,,,,,,,,,
ndrsd1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
ndrsd2,123958,122637,125042,121782,122528,124438,125259,123847,124075,120494,123958.000000,122637.000000,125042.000000,121782.000000,122528.000000,124438.000000,125259.000000,123847.000000,124075.000000,120494.000000
