kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
hotspot,4449,4492,4489,4470,4477,4486,4473,4473,4479,4473,4449.000000,4492.000000,4489.000000,4470.000000,4477.000000,4486.000000,4473.000000,4473.000000,4479.000000,4473.000000
kmeans,5151251,5109623,5126500,5156691,5172902,5131110,5139729,5109293,5158037,5144974,37059.359712,36759.877698,36881.294964,37098.496403,37215.122302,36914.460432,36976.467626,36757.503597,37108.179856,37014.201439
lavamd,848763,848745,848742,848741,848749,848739,848730,848746,848769,848734,848763.000000,848745.000000,848742.000000,848741.000000,848749.000000,848739.000000,848730.000000,848746.000000,848769.000000,848734.000000
nn,,,,,,,,,,,,,,,,,,,,
nw1,,,,,,,,,,,,,,,,,,,,
